cluster,Sales_mean,Sales_median,Units_mean,Units_median,distinct_products_mean,distinct_products_median,prd_grp_1_coverage_pct_mean,prd_grp_1_coverage_pct_median,prd_grp_3_coverage_pct_mean,prd_grp_3_coverage_pct_median,active_months_mean,active_months_median,lifetime_months_mean,lifetime_months_median,months_since_last_purchase_mean,months_since_last_purchase_median,activity_ratio_lifetime_mean,activity_ratio_lifetime_median,avg_inactive_gap_months_mean,avg_inactive_gap_months_median,avg_monthly_revenue_mean,avg_monthly_revenue_median,historical_ltv_mean,historical_ltv_median,purchase_freq_per_year_mean,purchase_freq_per_year_median,sf_total_events_mean,sf_total_events_median,sf_active_months_mean,sf_active_months_median,sf_activity_ratio_lifetime_mean,sf_activity_ratio_lifetime_median,sales_without_recent_sf_activity_mean,sales_without_recent_sf_activity_median,sf_activity_without_recent_sales_mean,sf_activity_without_recent_sales_median
0,27293.88504613201,15334.38,99.17814052519518,60.0,7.345635202271114,7.0,0.652235628105039,0.6666666666666666,0.18598803609449455,0.1714285714285714,9.872249822569199,9.0,26.004258339247695,28.0,4.610361958836054,2.0,0.3995614380365194,0.3714285714285714,2.5877966338118394,1.8888888888888888,1084.817682732668,623.9894285714286,27293.88504613201,15334.38,4.794737256438232,4.457142857142857,54.48119233498935,53.0,18.39247693399574,18.0,0.5378189067230336,0.53125,0.0,0.0,0.2320794889992903,0.0
1,17575.171428571426,11656.555,60.595238095238095,38.0,7.5476190476190474,8.0,0.6388888888888888,0.6666666666666666,0.1843537414965986,0.1714285714285714,8.476190476190476,8.0,29.785714285714285,31.0,2.4047619047619047,2.0,0.28840163286754433,0.26061120543293714,3.3269319040747614,3.2857142857142856,601.3996975292209,396.28660138248847,17575.171428571426,11656.555,3.460819594410532,3.127334465195246,27.357142857142858,26.0,8.833333333333334,8.0,0.36509284657763214,0.3397435897435897,0.9523809523809523,1.0,0.0,0.0
2,7765.867577639751,4135.68,27.37888198757764,15.0,4.732919254658385,5.0,0.49585921325051757,0.5,0.1265306122448979,0.1142857142857142,4.049689440993789,4.0,10.664596273291925,9.0,23.142857142857142,26.0,0.5110593583269614,0.4285714285714285,2.246269879189134,2.0,841.6352991828272,503.90875,7765.867577639751,4135.68,6.132712299923536,5.142857142857142,52.86335403726708,54.0,21.41614906832298,23.0,0.6119869589043362,0.6388888888888888,0.0,0.0,0.9565217391304348,1.0
3,647774.2816949153,600971.9,1961.7288135593221,1818.0,8.474576271186441,9.0,0.6468926553672316,0.6666666666666666,0.20193704600484258,0.2,28.71186440677966,29.0,35.20338983050848,35.0,0.3389830508474576,0.0,0.8156321080049893,0.8235294117647058,0.2402231330122551,0.2222222222222222,18380.74640896718,17809.335757575755,647774.2816949153,600971.9,9.787585296059872,9.88235294117647,108.59322033898304,109.0,25.76271186440678,26.0,0.7330689748935013,0.7428571428571429,0.0,0.0,0.0,0.0
4,165268.34313664597,144236.605,639.944099378882,570.5,8.649068322981366,9.0,0.6951345755693582,0.6666666666666666,0.21508429458740017,0.2285714285714285,28.055900621118013,29.0,34.97204968944099,35.0,0.37577639751552794,0.0,0.8008366357103224,0.8055555555555556,0.2738622891788643,0.25,4711.425062597465,4047.1736111111113,165268.34313664597,144236.605,9.61003962852387,9.666666666666666,102.31987577639751,102.0,25.183229813664596,25.0,0.7171801474355821,0.71875,0.0,0.0,0.0,0.0
